entry_date,exit_date,side,shares,entry_price,exit_price,stop_price,exit_reason,pnl,r_multiple,bars_in_trade,strategy
2012-09-14 00:00:00-04:00,2012-09-26 00:00:00-04:00,long,48716,1.2894030371665954,1.1953321887174555,1.2012932232960924,stop_loss,-4582.755453048301,-1.0,8,BreakoutMomentumStrategy
2017-10-27 00:00:00-04:00,2017-12-26 00:00:00-05:00,long,2227,10.187408137512207,11.200809810998145,9.757750088813976,stop_loss,2256.845526853182,2.3911422162524305,40,BreakoutMomentumStrategy
2018-01-23 00:00:00-05:00,2018-02-02 00:00:00-05:00,long,1556,14.20358943862915,13.55819613433805,13.574055378640963,stop_loss,-1004.2319814769505,-1.0,8,BreakoutMomentumStrategy
2019-07-10 00:00:00-04:00,2019-07-31 00:00:00-04:00,long,4698,16.19140259246826,15.23807207874465,15.255276299784478,stop_loss,-4478.746753473522,-1.0,15,BreakoutMomentumStrategy
2020-01-08 00:00:00-05:00,2020-02-20 00:00:00-05:00,long,4385,22.06377060546875,26.953370183137658,21.00449302155325,stop_loss,21440.894148078158,4.6410720057097405,29,BreakoutMomentumStrategy
2023-02-01 00:00:00-05:00,2023-02-24 00:00:00-05:00,long,1522,23.5157369140625,20.911249259043764,20.93299565556822,stop_loss,-3964.0302109385175,-1.0,16,BreakoutMomentumStrategy
